dataset_version,platform_id,isbn,status,price_cent,multi_copy_policy,rejection_reason,collected_at,source_kind
observed-2026-08-09-v1,xiaoguya,9787020002207,ACCEPTED,597,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787111544937,ACCEPTED,1738,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787508647357,ACCEPTED,816,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787534352362,ACCEPTED,17,MAX_ONE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787303147533,ACCEPTED,22,MAX_ONE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787521333299,REJECTED,,NOT_APPLICABLE,RECYCLING_CAPACITY_FULL,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787040396638,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787115621375,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787040599008,ACCEPTED,161,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787040599015,ACCEPTED,78,MAX_ONE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,xiaoguya,9787521766912,ACCEPTED,980,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787020002207,ACCEPTED,400,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787111544937,ACCEPTED,1692,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787508647357,ACCEPTED,100,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787534352362,REJECTED,,NOT_APPLICABLE,RECYCLING_CAPACITY_FULL,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787303147533,REJECTED,,NOT_APPLICABLE,RECYCLING_CAPACITY_FULL,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787521333299,REJECTED,,NOT_APPLICABLE,RECYCLING_CAPACITY_FULL,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787040396638,REJECTED,,NOT_APPLICABLE,RECYCLING_CAPACITY_FULL,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787115621375,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787040599008,ACCEPTED,50,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787040599015,ACCEPTED,30,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,jiumentishu,9787521766912,ACCEPTED,103,ALLOW_MULTIPLE,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787020002207,ACCEPTED,250,PLATFORM_DEFAULT,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787111544937,ACCEPTED,480,PLATFORM_DEFAULT,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787508647357,ACCEPTED,700,PLATFORM_DEFAULT,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787534352362,ACCEPTED,300,PLATFORM_DEFAULT,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787303147533,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787521333299,ACCEPTED,30,PLATFORM_DEFAULT,,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787040396638,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787115621375,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787040599008,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
observed-2026-08-09-v1,aihuishou,9787040599015,REJECTED,,NOT_APPLICABLE,TEMPORARILY_NOT_ACCEPTED,2026-08-09,USER_MANUAL_QUERY
